{'player_y': 83.0, 'next_next_pipe_dist_to_player': 309.0, 'player_vel': 0.0, 'next_pipe_dist_to_player': 165.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 84.0, 'next_next_pipe_dist_to_player': 305.0, 'player_vel': 1.0, 'next_pipe_dist_to_player': 161.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 76.0, 'next_next_pipe_dist_to_player': 301.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 157.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 76.0, 'next_next_pipe_dist_to_player': 297.0, 'player_vel': 0.0, 'next_pipe_dist_to_player': 153.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 77.0, 'next_next_pipe_dist_to_player': 293.0, 'player_vel': 1.0, 'next_pipe_dist_to_player': 149.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 69.0, 'next_next_pipe_dist_to_player': 289.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 145.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 69.0, 'next_next_pipe_dist_to_player': 285.0, 'player_vel': 0.0, 'next_pipe_dist_to_player': 141.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 70.0, 'next_next_pipe_dist_to_player': 281.0, 'player_vel': 1.0, 'next_pipe_dist_to_player': 137.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 62.0, 'next_next_pipe_dist_to_player': 277.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 133.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 54.0, 'next_next_pipe_dist_to_player': 273.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 129.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 47.0, 'next_next_pipe_dist_to_player': 269.0, 'player_vel': -7.0, 'next_pipe_dist_to_player': 125.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 41.0, 'next_next_pipe_dist_to_player': 265.0, 'player_vel': -6.0, 'next_pipe_dist_to_player': 121.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 36.0, 'next_next_pipe_dist_to_player': 261.0, 'player_vel': -5.0, 'next_pipe_dist_to_player': 117.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 28.0, 'next_next_pipe_dist_to_player': 257.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 113.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 28.0, 'next_next_pipe_dist_to_player': 253.0, 'player_vel': 0.0, 'next_pipe_dist_to_player': 109.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 29.0, 'next_next_pipe_dist_to_player': 249.0, 'player_vel': 1.0, 'next_pipe_dist_to_player': 105.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 21.0, 'next_next_pipe_dist_to_player': 245.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 101.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 21.0, 'next_next_pipe_dist_to_player': 241.0, 'player_vel': 0.0, 'next_pipe_dist_to_player': 97.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 13.0, 'next_next_pipe_dist_to_player': 237.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 93.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': 5.0, 'next_next_pipe_dist_to_player': 233.0, 'player_vel': -8.0, 'next_pipe_dist_to_player': 89.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
{'player_y': -2.0, 'next_next_pipe_dist_to_player': 229.0, 'player_vel': -7.0, 'next_pipe_dist_to_player': 85.0, 'next_next_pipe_bottom_y': 253, 'next_next_pipe_top_y': 153, 'next_pipe_bottom_y': 153, 'next_pipe_top_y': 53}
